conference,year,title,abstract,authors,paper_url,pdf_url,source
ICLR,2016,SparkNet: Training Deep Networks in Spark,,Philipp Moritz; Robert Nishihara; Ion Stoica; Michael Jordan,http://arxiv.org/abs/1511.06051,https://arxiv.org/pdf/1511.06051.pdf,iclr_archive
ICLR,2016,Unsupervised and Semi-supervised Learning with Categorical Generative Adversarial Networks,,Jost Tobias Springenberg,http://arxiv.org/abs/1511.06390,https://arxiv.org/pdf/1511.06390.pdf,iclr_archive
ICLR,2016,The Goldilocks Principle: Reading Children's Books with Explicit Memory Representations,,Felix Hill; Antoine Bordes; Sumit Chopra; Jason Weston,http://arxiv.org/abs/1511.02301,https://arxiv.org/pdf/1511.02301.pdf,iclr_archive
ICLR,2016,MuProp: Unbiased Backpropagation For Stochastic Neural Networks,,Shixiang Gu; Sergey Levine; Ilya Sutskever; Andriy Mnih,http://arxiv.org/abs/1511.05176,https://arxiv.org/pdf/1511.05176.pdf,iclr_archive
ICLR,2016,Data Representation and Compression Using Linear-Programming Approximations,,Hristo Paskov; John Mitchell; Trevor Hastie,http://arxiv.org/abs/1511.06606,https://arxiv.org/pdf/1511.06606.pdf,iclr_archive
ICLR,2016,Diversity Networks,,Zelda Mariet; Suvrit Sra,http://arxiv.org/abs/1511.05077,https://arxiv.org/pdf/1511.05077.pdf,iclr_archive
ICLR,2016,Deep Reinforcement Learning in Parameterized Action Space,,[code] [data] Matthew Hausknecht; Peter Stone,http://arxiv.org/abs/1511.04143,https://arxiv.org/pdf/1511.04143.pdf,iclr_archive
ICLR,2016,Learning VIsual Predictive Models of Physics for Playing Billiards,,Katerina Fragkiadaki; Pulkit Agrawal; Sergey Levine; Jitendra Malik,http://arxiv.org/abs/1511.07404,https://arxiv.org/pdf/1511.07404.pdf,iclr_archive
ICLR,2016,Towards AI-Complete Question Answering: A Set of Prerequisite Toy Tasks,,[code] [data] Jason Weston; Antoine Bordes; Sumit Chopra; Sasha Rush; Bart van Merrienboer; Armand Joulin; Tomas Mikolov,http://arxiv.org/abs/1502.05698,https://arxiv.org/pdf/1502.05698.pdf,iclr_archive
ICLR,2016,Evaluating Prerequisite Qualities for Learning End-to-end Dialog Systems,,[data] Jesse Dodge; Andreea Gane; Xiang Zhang; Antoine Bordes; Sumit Chopra; Alexander Miller; Arthur Szlam; Jason Weston,http://arxiv.org/abs/1511.06931,https://arxiv.org/pdf/1511.06931.pdf,iclr_archive
ICLR,2016,Better Computer Go Player with Neural Network and Long-term Prediction,,Yuandong Tian; Yan Zhu,http://arxiv.org/abs/1511.06410,https://arxiv.org/pdf/1511.06410.pdf,iclr_archive
ICLR,2016,Distributional Smoothing with Virtual Adversarial Training,,[code] Takeru Miyato; Shin-ichi Maeda; Masanori Koyama; Ken Nakae; Shin Ishii,http://arxiv.org/abs/1507.00677,https://arxiv.org/pdf/1507.00677.pdf,iclr_archive
ICLR,2016,Multi-task Sequence to Sequence Learning,,Minh-Thang Luong; Quoc Le; Ilya Sutskever; Oriol Vinyals; Lukasz Kaiser,http://arxiv.org/abs/1511.06114,https://arxiv.org/pdf/1511.06114.pdf,iclr_archive
ICLR,2016,A Test of Relative Similarity for Model Selection in Generative Models,,Eugene Belilovsky; Wacha Bounliphone; Matthew Blaschko; Ioannis Antonoglou; Arthur Gretton,http://arxiv.org/abs/1511.04581,https://arxiv.org/pdf/1511.04581.pdf,iclr_archive
